"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",19927,41.627784958,8.845267439,0.06102862358,38.652177318,113.854731899
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",30447,0.09260362503,0.007189159845,NA,NA,NA
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",106731,2.422118814,1.234168758,0.002294685331,0.6308873253,1.248059016
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",19266.73913,0.04694765607,0.01712007958,NA,NA,NA
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",17526.84777,0.04605410879,0.01910007512,NA,NA,NA
"Maldives","MDV","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",32117,0.1278509785,0.007782596612,NA,NA,NA
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",86012,0.1513626557,0.01478172464,NA,NA,NA
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",330639,2.438132287,0.8815825822,0.09007399626,2.780631439,3.179132182
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",149944,-0.6869350273,1.021823482,1.282129597,56.992541067,24.346444116
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",140602,108.426134102,11.7221447,2.390155896,102.459441405,302.90177092
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",28540,136.513169855,9.391369531,4.313600948,467.678066343,1118.844281882
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",36274.1415,0.02950152123,0.2161429393,NA,NA,NA
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",43143,-30.284994864,1.851631532,2.836377826,415.654899552,115.497969091
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",89376,0.2640100547,0.04055695513,NA,NA,NA
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",334332,30.757361674,7.762649329,0.1909358843,6.875403051,31.089186086
"Mauritius","MUS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",34905.74763,0.06805611292,0.1198073505,NA,NA,NA
